rank	selection	uniprot	gene	protein_name	organism	chosen_pdb	matched_chain	resolution_A	method	pdb_release_date	identity	coverage	pdb_vendor_intersection	vendor_accession	vendor_range	pdb_map_uniprot_range	antigen_catalog	antigen_url	biotinylated	molecular_weight_kda	product_form	expression_host	tags	quantity_ug	concentration_mg_per_ml	price_usd	pack_size	buffer	reconstitution	storage_temp	purity_percent	endotoxin_eu_per_mg	validating_assays
85	biotin	O14493	CLDN4	Claudin-4	Homo sapiens	9CMI	A	2.83	ELECTRON MICROSCOPY	2024-08-07	1.000	1.000	1-209	O14493-1	1-209	1-209	CL4-H85D3	https://www.acrobiosystems.com/products/protein/claudin-4-human-cl4-h85d3	True	27.5	0.2 μm filtered solution	Baculovirus-Insect cells	Avi tag (Avitag) at N-terminus, polyhistidine tag, Flag tag at C-terminus					50 mM Tris, 150 mM NaCl, DDM, CHS, pH8.0 with glycerol as protectant		-70°C or lower	90.0		HABA assay / binding ELISA
86	biotin	O95484	CLDN9	Claudin-9	Homo sapiens	6OV2	A	3.20	X-RAY DIFFRACTION	2019-09-04	1.000	1.000	2-217	O95484-1	2-217	2-217	CL9-H85D3	https://www.acrobiosystems.com/products/protein/claudin-9-human-cl9-h85d3	True	28.2	0.2 μm filtered solution	Baculovirus-Insect cells	polyhistidine tag at the N-terminus, Flag tag at the C-terminus, Avi tag					50 mM HEPES, 150 mM NaCl, DDM, pH7.5, CHS with glycerol as protectant		-70°C or lower	90.0		HABA assay / binding ELISA
87	biotin	P13726	F3	Isoform 1 of Tissue factor	Homo sapiens	4YLQ	T	1.40	X-RAY DIFFRACTION	2015-12-30	1.000	1.000	33-251	P13726-1	33-251	33-251	TF3-H82E3	https://www.acrobiosystems.com/products/protein/coagulation-factor-iii-human-tf3-h82e3	True	28.4	Lyophilized	HEK293	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					50 mM Tris, 150 mM NaCl, pH7.5 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	90.0	1.0	HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
88	biotin	P01024	C3	Complement C3	Homo sapiens	8OQ3	A	2.90	ELECTRON MICROSCOPY	2024-02-21	1.000	1.000	23-1663	P01024-1	23-1663	23-1663	CO3-H82E8	https://www.acrobiosystems.com/products/protein/complement-c3-human-co3-h82e8	True	188.5	Lyophilized	HEK293	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile)	95.0		HABA assay / binding ELISA
89	biotin	P01031	C5	Complement C5	Homo sapiens	7AD7	A	2.30	X-RAY DIFFRACTION	2021-03-10	1.000	1.000	19-1676	P01031-1	19-1676	19-1676	CO5-H82E9	https://www.acrobiosystems.com/products/protein/complement-c5-human-co5-h82e9	True		Lyophilized	HEK293	polyhistidine tag at the C-terminus, Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile conditions)	95.0		HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
90	biotin	P00751	CFB	Isoform 1 of Complement factor B	Homo sapiens	3HRZ	D	2.20	X-RAY DIFFRACTION	2009-07-07	0.997	1.000	26-764	P00751-1	26-764	26-764	CFB-H82E4	https://www.acrobiosystems.com/products/protein/complement-factor-b-human-cfb-h82e4	True	86.6	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	95.0		HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
91	biotin	Q08345	DDR1	Isoform 1 of Epithelial discoidin domain-containing receptor 1	Homo sapiens	4AG4	A	2.80	X-RAY DIFFRACTION	2012-04-18	1.000	0.856	29-367	Q08345-1	21-416	29-367	DD1-H82E9	https://www.acrobiosystems.com/products/protein/ddr1-human-dd1-h82e9	True	47.5	Lyophilized	HEK293	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile)	95.0		HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
92	biotin	O00548	DLL1	Isoform 1 of Delta-like protein 1	Homo sapiens	4XBM	A	3.20	X-RAY DIFFRACTION	2015-03-11	0.994	0.994	21-540	O00548-1	18-540	21-540	DL1-H82E5	https://www.acrobiosystems.com/products/protein/dll1-human-dl1-h82e5	True	60.1	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution.	95.0	10.0	SDS-PAGE, SEC-MALS, HABA assay / binding ELISA, sterility and endotoxin tests, mycoplasma test
93	biotin	Q9NR61	DLL4	Delta-like protein 4	Homo sapiens	5MVX	A	2.17	X-RAY DIFFRACTION	2017-06-14	1.000	0.600	27-325	NP_061947.1	27-524	27-325	GMP-DL4H23	https://www.acrobiosystems.com/products/protein/dll4-human-gmp-dl4h23	True	57.9	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)				6R (20 mm neck finish)	PBS, pH7.4 with protectants		-20°C or lower for long term storage; -20°C to -70°C for 5 years in lyophilized state; -70°C for 12 months under sterile conditions after reconstitution	95.0	10.0	SDS-PAGE, Quantitative ELISA binding assay against streptavidin, LAL method for endotoxin, ELISA for host cell protein, qPCR for host cell DNA, sterility testing (membrane filtration), mycoplasma testing
94	biotin	Q15762	CD226	CD226 antigen	Homo sapiens	6ISB	A	2.50	X-RAY DIFFRACTION	2018-12-26	1.000	1.000	19-247	NP_006557	19-247	19-247	DN1-H82F9	https://www.acrobiosystems.com/products/protein/dnam-1-human-dn1-h82f9	True	54.4	Lyophilized	human 293 cells (HEK293)	human IgG1 Fc tag at the C-terminus, followed by an Avi tag (Avitag™)					Tris with Glycine, Arginine and NaCl, pH7.5 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (reconstituted, sterile)	95.0		HABA assay / binding ELISA
95	biotin	P27487	DPP4	Dipeptidyl peptidase 4	Homo sapiens	2BGR	A	2.00	X-RAY DIFFRACTION	2005-01-27	1.000	1.000	34-766	NP_001926.2	34-766	34-766	DP4-H82E4	https://www.acrobiosystems.com/products/protein/dppiv-human-dp4-h82e4	True	88.4	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile)	95.0		HABA assay / binding ELISA
96	biotin	O95407	TNFRSF6B	Tumor necrosis factor receptor superfamily member 6B	Homo sapiens	4KGQ	C	2.27	X-RAY DIFFRACTION	2013-07-10	1.000	0.620	30-198	AAH17065	30-300	30-198	DC3-H82E3	https://www.acrobiosystems.com/products/protein/dcr3-human-dc3-h82e3	True	36.0	Lyophilized	HEK293	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile)	90.0		HABA assay / binding ELISA
97	biotin	O94907	DKK1	Dickkopf-related protein 1	Homo sapiens	3S2K	C	2.80	X-RAY DIFFRACTION	2011-11-02	1.000	0.379	178-266	O94907-1	32-266	178-266	DK1-H82F5	https://www.acrobiosystems.com/products/protein/dkk-1-human-dk1-h82f5	True	54.0	Lyophilized	human 293 cells (HEK293)	human IgG1 Fc tag at the C-terminus, followed by an Avi tag (Avitag™)					Tris with Glycine, Arginine and NaCl, pH7.5 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile conditions)	95.0		HABA assay / binding ELISA
98	biotin	P00533	EGFR	Isoform 1 of Epidermal growth factor receptor	Homo sapiens	4UV7	A	2.10	X-RAY DIFFRACTION	2015-10-14	1.000	1.000	25-645	P00533-1	25-645	25-645	EGR-H82E3	https://www.acrobiosystems.com/products/protein/egf-r-human-egr-h82e3	True	72.3	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C to -70°C for 24 months in lyophilized state; -70°C for 12 months under sterile conditions after reconstitution.	95.0	0.1	HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
99	biotin	P35613	BSG	Isoform 2 of Basigin	Homo sapiens	7XY8	A	2.30	X-RAY DIFFRACTION	2022-11-23	1.000	1.000	22-205	P35613-2	22-205	22-205	CD7-H82E0	https://www.acrobiosystems.com/products/protein/emmprin-human-cd7-h82e0	True	22.75	Lyophilized	human 293 cells (HEK293)	Avitag, His Tag					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile)	92.0		HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
100	biotin	O14638	ENPP3	Ectonucleotide pyrophosphatase/phosphodiesterase family member 3	Homo sapiens	6C02	A	1.94	X-RAY DIFFRACTION	2018-05-02	0.998	1.000	48-875	O14638-1	48-875	48-875	EN3-H82E5	https://www.acrobiosystems.com/products/protein/enpp3-human-en3-h82e5	True	98.6	Lyophilized	human 293 cells (HEK293)	Avi tag (Avitag™) at the N-terminus, followed by a polyhistidine tag					50 mM Tris, 150 mM NaCl, pH7.5 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile)	90.0		HABA assay / binding ELISA
101	biotin	G4XFJ5	env	Envelope glycoprotein gp160	Human immunodeficiency virus type 1	6L1Y	A	2.47	X-RAY DIFFRACTION	2020-05-20	0.993	0.587	203-499	G4XFJ5-1	36-507	203-499	GP0-V182E6	https://www.acrobiosystems.com/products/protein/envelope-glycoprotein-gp120-gp120-hiv-hiv-1-cn54-gp0-v182e6	True	56.7	Lyophilized	HEK293 cells	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile conditions)	95.0		HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
102	biotin	Q2N0S5	env	Envelope glycoprotein gp160	Human immunodeficiency virus type 1	8TTW	A	2.96	ELECTRON MICROSCOPY	2023-11-08	0.992	0.758	30-508	ABA61516.1	30-661	30-508	GP0-V82E3	https://www.acrobiosystems.com/products/protein/envelope-glycoprotein-gp140-gp140-hiv-human-immunodeficiency-virus-1-hiv-1-gp0-v82e3	True		Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					0.1 M Sodium citrate, pH5.5 with trehalose as protectant	Please see Certificate of Analysis for specific instructions.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	90.0		HABA assay / binding ELISA
103	biotin	P16422	EPCAM	Epithelial cell adhesion molecule	Homo sapiens	4MZV	A	1.86	X-RAY DIFFRACTION	2014-08-27	0.988	1.000	24-265	AAH14785.1	24-265	24-265	EPM-H82E8	https://www.acrobiosystems.com/products/protein/epcam-human-epm-h82e8	True	30.0	Lyophilized	human 293 cells (HEK293)	Avitag (Avi tag) at C-terminus, polyhistidine tag					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile)	95.0	100.0	HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
104	biotin	P29317	EPHA2	Ephrin type-A receptor 2	Homo sapiens	3FL7	A	2.50	X-RAY DIFFRACTION	2009-01-27	1.000	0.994	24-531	P29317	24-534	24-531	EP2-H82E4	https://www.acrobiosystems.com/products/protein/epha2-human-ep2-h82e4	True	59.8	Lyophilized	HEK293	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile)	95.0	0.1	HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
105	biotin	P54760	EPHB4	Ephrin type-B receptor 4	Homo sapiens	2BBA	A	1.65	X-RAY DIFFRACTION	2006-07-18	1.000	0.344	17-196	NP_004435.3	16-539	17-196	EP4-H8229	https://www.acrobiosystems.com/products/protein/ephb4-human-ep4-h8229	True	57.9	Lyophilized	HEK293	His tag, biotin					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile conditions)	97.0		HABA assay / binding ELISA
106	biotin	P21860	ERBB3	Isoform 1 of Receptor tyrosine-protein kinase erbB-3	Homo sapiens	7MN5	A	2.93	ELECTRON MICROSCOPY	2021-10-27	1.000	1.000	20-643	P21860-1	20-643	20-643	ER3-H82E6	https://www.acrobiosystems.com/products/protein/erbb3-human-er3-h82e6	True	72.2	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	95.0	0.2	SDS-PAGE, SEC-MALS, HABA assay / binding ELISA
107	biotin	P01588	EPO	Erythropoietin	Homo sapiens	1EER	A	1.90	X-RAY DIFFRACTION	1999-10-01	0.970	1.000	28-193	P01588	28-193	28-193	EPO-H82E3	https://www.acrobiosystems.com/products/protein/erythropoietin-human-epo-h82e3	True	22.0	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile conditions)	95.0		HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
108	biotin	Q12884	FAP	Isoform 1 of Prolyl endopeptidase FAP	Homo sapiens	9DVQ	A	2.70	ELECTRON MICROSCOPY	2025-02-26	1.000	0.999	27-760	Q12884-1	26-760	27-760	FAP-H82Q6	https://www.acrobiosystems.com/products/protein/fap-human-fap-h82q6	True	93.1	Lyophilized	HEK293	polyhistidine tag at the N-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution.	95.0		HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
109	biotin	O60667	FCMR	Isoform 1 of Immunoglobulin mu Fc receptor	Homo sapiens	8BPG	A	3.10	ELECTRON MICROSCOPY	2023-04-12	1.000	1.000	18-251	O60667-1	18-251	18-251	FCR-H82E3	https://www.acrobiosystems.com/products/protein/fcmr-human-fcr-h82e3	True	30.0	Lyophilized	HEK293	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (reconstituted, sterile)	90.0	1000.0	SDS-PAGE, SEC-MALS, HABA assay / binding ELISA
110	biotin	P09038	FGF2	Isoform 1 of Fibroblast growth factor 2	Homo sapiens	4FGF	A	1.60	X-RAY DIFFRACTION	1993-07-15	1.000	1.000	143-288	P09038-4	143-288	143-288	FGC-H81E3	https://www.acrobiosystems.com/products/protein/fgf-basic-human-fgc-h81e3	True	20.1	Lyophilized	E. coli	Avi tag (Avitag™) at the N-terminus, polyhistidine tag					50 mM Tris, 150 mM NaCl, pH7.5 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile)	90.0		HABA assay / binding ELISA
111	biotin	O15520	FGF10	Fibroblast growth factor 10	Homo sapiens	1NUN	A	2.90	X-RAY DIFFRACTION	2003-02-11	1.000	0.848	64-208	O15520-1	38-208	64-208	FG0-H81Q7	https://www.acrobiosystems.com/products/protein/fgf-10-human-fg0-h81q7	True	22.9	Lyophilized	E. coli	polyhistidine tag at the N-terminus, followed by an Avi tag (Avitag™)					PBS, 0.5 M Arginine, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile conditions)	95.0	0.1	HABA assay / binding ELISA
112	biotin	Q9NSA1	FGF21	Fibroblast growth factor 21	Homo sapiens	6M6E	A		SOLUTION NMR	2021-01-20	1.000	0.707	42-169	Q9NSA1-1	29-209	42-169	FG1-H82Q3	https://www.acrobiosystems.com/products/protein/fgf-21-human-fg1-h82q3	True	23.0	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the N-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile)	90.0		HABA assay / binding ELISA
113	biotin	Q08830	FGL1	Fibrinogen-like protein 1	Homo sapiens	7TZ2	A	2.55	X-RAY DIFFRACTION	2022-05-11	1.000	0.803	74-306	Q08830-1	23-312	74-306	FG1-H82Ey	https://www.acrobiosystems.com/products/protein/fgl1-human-fg1-h82ey	True	37.9	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the N-terminus, followed by an Avi tag (Avitag™)					PBS with Arginine, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	90.0		HABA assay / binding ELISA
114	biotin	P14207	FOLR2	Folate receptor beta	Homo sapiens	4KMY	A	1.79	X-RAY DIFFRACTION	2013-08-07	1.000	0.967	24-228	P14207-1	17-228	24-228	FO2-H82E8	https://www.acrobiosystems.com/products/protein/folr2-human-fo2-h82e8	True	28.2	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile)	95.0		HABA assay / binding ELISA
115	biotin	P12319	FCER1A	High affinity immunoglobulin epsilon receptor subunit alpha	Homo sapiens	8YWA	A	3.14	ELECTRON MICROSCOPY	2024-11-06	1.000	1.000	26-205	P12319-1	26-205	26-205	FCA-H82E3	https://www.acrobiosystems.com/products/protein/fc-epsilon-ri-alpha-human-fca-h82e3	True	24.6	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution.	95.0		HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
116	biotin	P12314	FCGR1A	Isoform 1 of High affinity immunoglobulin gamma Fc receptor I	Homo sapiens	4ZNE	A	2.42	X-RAY DIFFRACTION	2015-11-11	1.000	0.978	16-282	P12314-1	16-288	16-282	FCA-H82E8	https://www.acrobiosystems.com/products/protein/fc-gamma-ri-cd64-human-fca-h82e8	True	34.2	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 12 months under sterile conditions after reconstitution	95.0		HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
117	biotin	P12318	FCGR2A	Isoform 1 of Low affinity immunoglobulin gamma Fc region receptor II-a	Homo sapiens	8CHA	A	1.81	X-RAY DIFFRACTION	2024-05-22	0.994	0.951	36-209	P12318-1	36-218	36-209	CDA-H82E5	https://www.acrobiosystems.com/products/protein/fc-gamma-riia-cd32a-human-cda-h82e5	True	23.9	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	95.0		HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
118	biotin	P31994	FCGR2B	Isoform IIB1 of Low affinity immunoglobulin gamma Fc region receptor II-b	Homo sapiens	2FCB	A	1.74	X-RAY DIFFRACTION	2000-03-01	1.000	1.000	46-217	P31994-1	46-217	46-217	CDB-H82E0	https://www.acrobiosystems.com/products/protein/fc-gamma-riib-c-cd32b-c-human-cdb-h82e0	True	23.0	Lyophilized	human 293 cells (HEK293)	Avi tag (Avitag™) at the C-terminus, followed by a polyhistidine tag					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C to -70°C for 12 months in lyophilized state; -70°C for 12 months under sterile conditions after reconstitution.	95.0		HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
119	biotin	P08637	FCGR3A	Low affinity immunoglobulin gamma Fc region receptor III-A	Homo sapiens	3WN5	C	2.78	X-RAY DIFFRACTION	2014-11-19	0.979	0.995	18-208	P08637-1	17-208	18-208	CDA-H82E9	https://www.acrobiosystems.com/products/protein/fc-gamma-riiia-cd16a-human-cda-h82e9	True	25.5	Lyophilized	human 293 cells (HEK293)	Avi tag (Avitag™) at the C-terminus, followed by a polyhistidine tag					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 12 months under sterile conditions after reconstitution	95.0		HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
120	biotin	O75015	FCGR3B	Low affinity immunoglobulin gamma Fc region receptor III-B	Homo sapiens	1E4J	A	2.50	X-RAY DIFFRACTION	2000-08-04	0.994	0.957	18-193	O75015	17-200	18-193	CDB-H82Ea	https://www.acrobiosystems.com/products/protein/fc-gamma-riiib-cd16b-na2-human-cdb-h82ea	True	24.5	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C to -70°C for 12 months in lyophilized state; -70°C for 12 months under sterile conditions after reconstitution.	95.0		HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
121	biotin	P55899	FCGRT	IgG receptor FcRn large subunit p51	Homo sapiens	6C98	A	1.85	X-RAY DIFFRACTION	2018-05-30	1.000	1.000	24-297	P55899-1	24-297	24-297	FCM-H82W7	https://www.acrobiosystems.com/products/protein/fcrn-fcgrt-b2m-human-fcm-h82w7	True	34.2	Lyophilized	HEK293	His, Avitag					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 12 months under sterile conditions after reconstitution	95.0		HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
122	biotin	P36888	FLT3	Isoform 1 of Receptor-type tyrosine-protein kinase FLT3	Homo sapiens	7QDP	E	3.69	X-RAY DIFFRACTION	2022-12-14	0.996	0.996	27-541	P36888-1	27-543	27-541	FL3-H82E3	https://www.acrobiosystems.com/products/protein/flt-3-human-fl3-h82e3	True	62.1	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months under sterile conditions after reconstitution	90.0		HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
